source	action	dest	remap	note
compiler-types/requirements/context-normalization.hd	man	tv/context-spread-normalization	-	F-201: declare Clock and Backup
compiler-types/requirements/contexts.hd	man	rv/context-values-install-providers	-	F-201: declare Clock and Backup
compiler-types/requirements/generic-provider-keys/collision.hd	mv	ti/generic-provider-key-collision-nested	-	-
compiler-types/requirements/generic-provider-keys/consistent-substitution.hd	mv	tv/generic-provider-keys-consistent-substitution	-	-
compiler-types/requirements/generic-provider-keys/distinct.hd	mv	tv/generic-provider-keys-distinct	-	-
compiler-types/requirements/generic-provider-keys/occurs-check.hd	mv	tv/generic-provider-keys-occurs-check	-	-
compiler-types/requirements/generic-provider-keys/spread-collision.hd	mv	ti/generic-provider-key-collision-spread	-	-
compiler-types/requirements/missing-requirement.hd	man	ti/call-missing-requirement	-	F-201: declare Clock
compiler-types/requirements/normalization/explicit-empty-row.hd	hold	-	-	uses `$()`, which chapter 02 prose defines but its EBNF (and the reference parser) does not derive
compiler-types/requirements/normalization/grouped.hd	man	tv/requirement-row-grouped-subtraction	-	F-201: declare Clock and Logger
compiler-types/requirements/normalization/ungrouped.hd	man	tv/requirement-row-ungrouped-subtraction	-	F-201: declare Clock and Logger
compiler-types/requirements/provider-errors/missing-provider.hd	man	ti/use-without-provider	-	F-201: declare Clock
compiler-types/requirements/provider-errors/wrong-provider-type.hd	man	ti/provider-value-type-mismatch	provider-type-mismatch=type-mismatch	F-201: declare Clock
compiler-types/requirements/provider-scopes.hd	man	rv/nested-provider-scope	-	F-201: declare Clock and Backup
compiler-types/requirements/row-forwarding.hd	man	rv/row-polymorphic-forwarding	-	F-201: declare Clock and Logger
compiler-types/requirements/row-inference/conflicting-row.hd	man	ti/row-inference-conflict	generic-type-mismatch=type-mismatch	F-201: declare Clock and Logger
compiler-types/requirements/row-inference/inferred-empty-row.hd	res	rv/row-inference-empty-row	-	-
compiler-types/requirements/row-inference/unavailable-provider.hd	man	ti/row-inference-unavailable-provider	-	F-201: declare Clock and Logger
compiler-types/requirements/row-multi-forwarding.hd	man	rv/row-polymorphic-union-forwarding	-	F-201: declare Clock and Logger
compiler-types/requirements/row-pack.hd	man	rv/row-variable-binds-union	-	F-201: declare Clock and Logger
compiler-types/requirements/row-subtraction/absent-subtraction-warning.hd	man	tw/row-subtraction-absent-key	-	F-201: declare Clock, Logger, Backup
compiler-types/requirements/row-subtraction/missing-subtracted-provider.hd	man	ti/row-subtraction-without-provider	-	F-201: declare Logger
compiler-types/requirements/row-subtraction/provider-restoration.hd	man	rv/row-subtraction-provider-restoration	-	F-201: declare Clock, Logger, Backup
compiler-types/requirements/row-union.hd	man	rv/row-variable-plus-key	-	F-201: declare Logger
compiler-types/traits/defaults/inherited-method.hd	res	rv/trait-default-method-inherited	-	-
compiler-types/traits/defaults/override.hd	res	rv/trait-default-method-overridden	-	-
compiler-types/traits/diagnostics/ambiguous-method.hd	mv	ti/ambiguous-method-two-traits	-	-
compiler-types/traits/diagnostics/mismatched-signature.hd	mv	ti/trait-method-result-type-mismatch	-	-
compiler-types/traits/diagnostics/missing-method.hd	mv	ti/trait-impl-missing-method	-	-
compiler-types/traits/dispatch.hd	res	rv/static-and-dynamic-trait-dispatch	-	-
compiler-types/traits/embedded-fields.hd	res	rv/embedded-field-satisfies-trait	-	-
compiler-types/traits/generic-bounds/dictionary-dispatch.hd	res	rv/generic-bound-dispatch	-	-
compiler-types/traits/generic-bounds/missing-implementation.hd	hold	-	-	marks missing-trait-implementation (unsatisfied bound), which spec/README.md does not inventory (F-205)
compiler-types/traits/inherent-methods.hd	res	rv/inherent-methods	-	-
compiler-types/traits/multiple-bounds/dictionary-forwarding.hd	res	rv/multiple-bounds-dispatch	-	-
compiler-types/traits/multiple-bounds/duplicate-bound.hd	hold	-	-	marks duplicate-trait-bound, which spec/README.md does not inventory (F-205); second duplicate bound removed (D5)
compiler-types/traits/mutable-errors/readonly-dynamic.hd	mv	ti/readonly-trait-value-mutating-method	-	-
compiler-types/traits/mutable-errors/readonly-static.hd	mv	ti/readonly-data-mutating-trait-method	-	-
compiler-types/traits/mutable-errors/signature-mismatch.hd	mv	ti/trait-method-receiver-mismatch	-	-
compiler-types/traits/mutable-receivers.hd	res	rv/mutable-receivers	-	-
compiler-types/traits/providers.hd	res	rv/trait-value-as-provider	-	-
compiler-types/traits/suspending-cancel.hd	man	rv/cancellation-runs-dynamic-method-defer	-	F-210: accept-only; rewritten as a cancellation-cleanup scenario
compiler-types/traits/suspending-defaults.hd	res	rv/suspending-trait-default-method	-	-
compiler-types/traits/suspending-dispatch.hd	res	rv/suspending-trait-dispatch	-	-
compiler-types/tuples/heterogeneous/gc-storage.hd	res	rv/heterogeneous-tuples	-	-
compiler-types/tuples/heterogeneous/identity-rejected.hd	del	typing/invalid/tuple-identity.hd	-	identical to the conformance copy
compiler-types/tuples/heterogeneous/index-out-of-range.hd	hold	-	-	marks tuple-index-range, which spec/README.md does not inventory (F-205)
compiler/00-case-program.hd	res	rv/conditional-call-program	-	-
compiler/03-checked-i32-arithmetic-traps-on-overflow.hd	man	rp/i32-add-overflow-in-function	-	D2: called from a test block
compiler/04-the-minimum-i32-literal-forms-through-unary-negation-diagnostic.hd	mv	ti/unary-plus-i32-literal-range	-	-
compiler/04-the-minimum-i32-literal-forms-through-unary-negation-division.hd	man	rp/i32-min-divided-by-minus-one	-	D2: called from a test block
compiler/04-the-minimum-i32-literal-forms-through-unary-negation.hd	res	rv/i32-minimum-literal	-	-
compiler/05-integer-power-is-right-associative-checked-and-rejects-negative-exponent-negative.hd	man	ti/signed-integer-exponent	-	L2: a signed exponent is now a type-mismatch error
compiler/05-integer-power-is-right-associative-checked-and-rejects-negative-exponent-overflow.hd	man	rp/integer-power-overflow	-	D2: called from a test block
compiler/05-integer-power-is-right-associative-checked-and-rejects-negative-exponent.hd	res	rv/integer-power-associativity	-	-
compiler/06-floating-power-uses-the-host-ieee-pow-primitive-diagnostic.hd	mv	ti/power-mixed-numeric-types	-	-
compiler/06-floating-power-uses-the-host-ieee-pow-primitive.hd	res	rv/floating-power	-	-
compiler/07-checker-rejects-name-mutability-and-type-errors-diagnostic-2.hd	mv	ti/reassign-short-binding-in-function	-	-
compiler/07-checker-rejects-name-mutability-and-type-errors-diagnostic-3.hd	mv	ti/function-result-type-mismatch	-	-
compiler/07-checker-rejects-name-mutability-and-type-errors-diagnostic-4.hd	hold	-	-	marks invalid-binary-operands (float %), which spec/README.md does not inventory (F-205)
compiler/07-checker-rejects-name-mutability-and-type-errors-diagnostic-5.hd	hold	-	-	marks invalid-binary-operands (bool <), which spec/README.md does not inventory (F-205)
compiler/07-checker-rejects-name-mutability-and-type-errors-diagnostic-6.hd	mv	ti/nonfinal-vararg-then-parameter	-	-
compiler/07-checker-rejects-name-mutability-and-type-errors-diagnostic.hd	mv	ti/unknown-value-name	-	-
compiler/07-checker-rejects-name-mutability-and-type-errors-positional-spread-needs-vararg.hd	hold	-	-	marks positional-spread-needs-vararg, which spec/README.md does not inventory (F-205)
compiler/08-homogeneous-varargs-lower-through-the-existing-list-abi.hd	res	rv/homogeneous-varargs	-	-
compiler/09-first-class-vararg-functions-retain-their-calling-convention-type-mismatch.hd	mv	ti/list-function-to-vararg-function-type	-	-
compiler/09-first-class-vararg-functions-retain-their-calling-convention.hd	res	rv/vararg-function-values	-	-
compiler/10-function-parameter-defaults-evaluate-after-explicit-arguments.hd	res	rv/parameter-defaults-after-explicit-arguments	-	-
compiler/11-function-parameter-defaults-enforce-order-type-and-purity-diagnostic-2.hd	mv	ti/parameter-default-type-mismatch	-	-
compiler/11-function-parameter-defaults-enforce-order-type-and-purity-diagnostic.hd	hold	-	-	marks parameter-default-order; chapter 07 states the rule but spec/README.md has no code for it (F-205)
compiler/11-function-parameter-defaults-enforce-order-type-and-purity-impure-parameter-default.hd	mv	ti/suspending-parameter-default	impure-parameter-default=impure-default	-
compiler/12-varargs-work-in-suspending-and-trait-method-calls.hd	res	rv/varargs-in-trait-and-suspending-methods	-	-
compiler/13-named-arguments-map-to-parameters-without-changing-source-evaluation-ord-2.hd	res	rv/named-arguments-reordered	-	-
compiler/13-named-arguments-map-to-parameters-without-changing-source-evaluation-ord.hd	res	rv/named-arguments-source-evaluation-order	-	-
compiler/14-named-enum-payloads-preserve-source-evaluation-order-duplicate-argument.hd	hold	-	-	marks duplicate-argument, which spec/README.md does not inventory (F-205)
compiler/14-named-enum-payloads-preserve-source-evaluation-order-unknown-named-argument.hd	hold	-	-	marks unknown-named-argument, which spec/README.md does not inventory (F-205)
compiler/14-named-enum-payloads-preserve-source-evaluation-order.hd	res	rv/named-enum-payload-evaluation-order	-	-
compiler/15-named-enum-payload-patterns-resolve-bindings-by-field-name-unknown-variant-pattern-field.hd	hold	-	-	marks unknown-variant-pattern-field, which spec/README.md does not inventory (F-205)
compiler/15-named-enum-payload-patterns-resolve-bindings-by-field-name.hd	res	rv/named-enum-payload-patterns	-	-
compiler/16-literal-enum-payload-patterns-constrain-variants-in-wasm-and-suspension--nonexhaustive-match.hd	mv	ti/literal-payload-pattern-nonexhaustive	-	-
compiler/16-literal-enum-payload-patterns-constrain-variants-in-wasm-and-suspension-.hd	res	rv/literal-payload-patterns	-	-
compiler/17-shared-enum-data-uses-per-variant-factories-and-pure-ordered-defaults.hd	res	rv/shared-enum-data-defaults	-	-
compiler/18-named-arguments-work-through-static-and-dynamic-trait-dispatch.hd	res	rv/named-arguments-trait-dispatch	-	-
compiler/19-shadow-console.hd	mv	ti/prelude-shadow-console-parameter	-	-
compiler/19-shadow-display.hd	del	typing/invalid/prelude-shadow.hd	-	identical to the conformance copy
compiler/19-shadow-hash.hd	mv	ti/prelude-shadow-hash-local	-	-
compiler/19-shadow-println.hd	mv	ti/prelude-shadow-println-function	-	-
compiler/19-shadow-result.hd	mv	ti/prelude-shadow-result-generic	-	-
compiler/20-branch-scopes-do-not-leak-and-may-shadow-each-other-diagnostic.hd	mv	ti/branch-binding-does-not-leak	-	-
compiler/20-branch-scopes-do-not-leak-and-may-shadow-each-other.hd	res	rv/branch-scopes-shadow	-	-
compiler/21-else-if-chains-preserve-value-typing-and-selection-order.hd	res	rv/else-if-chain	-	-
compiler/22-while-break-and-continue-lower-to-structured-wasm-control-flow-diagnostic.hd	mv	ti/break-outside-loop	-	-
compiler/22-while-break-and-continue-lower-to-structured-wasm-control-flow.hd	res	rv/while-break-and-continue	-	-
compiler/23-while-else-produces-values-on-break-or-normal-exhaustion-broken.hd	res	rv/while-else-break-value	-	-
compiler/23-while-else-produces-values-on-break-or-normal-exhaustion-diagnostic-2.hd	mv	ti/plain-break-in-value-loop	-	-
compiler/23-while-else-produces-values-on-break-or-normal-exhaustion-diagnostic.hd	mv	ti/break-value-in-void-loop	-	-
compiler/23-while-else-produces-values-on-break-or-normal-exhaustion-exhausted.hd	res	rv/while-else-exhaustion-value	-	-
compiler/24-for-loops-iterate-lists-and-maps-with-continue-destructuring-and-else-va-diagnostic-2.hd	hold	-	-	marks for-binding-arity, which spec/README.md does not inventory (F-205)
compiler/24-for-loops-iterate-lists-and-maps-with-continue-destructuring-and-else-va-diagnostic.hd	hold	-	-	marks not-iterable, which spec/README.md does not inventory (F-205)
compiler/24-for-loops-iterate-lists-and-maps-with-continue-destructuring-and-else-va.hd	res	rv/for-loops-lists-and-maps	-	-
compiler/25-data-declarations-lower-to-wasm-gc-structs.hd	res	rv/data-fields-named-in-any-order	-	-
compiler/26-mutable-data-paths-weaken-one-way-and-share-wasm-gc-identity.hd	res	rv/mutable-data-paths-share-identity	-	-
compiler/27-mutable-list-and-map-roots-support-indexed-replacement.hd	man	rv/indexed-replacement-list-and-map	-	match used as a binary operand is not derived by chapter 02; bound to a local first
compiler/28-mutable-lists-append-through-growable-wasm-gc-storage-mutable-receiver-required.hd	mv	ti/readonly-list-append	-	-
compiler/28-mutable-lists-append-through-growable-wasm-gc-storage.hd	res	rv/list-append-grows	-	-
compiler/29-mutable-maps-grow-from-empty-storage-and-remove-entries-in-insertion-ord-mutable-receiver-required.hd	mv	ti/readonly-map-remove	-	-
compiler/29-mutable-maps-grow-from-empty-storage-and-remove-entries-in-insertion-ord.hd	res	rv/map-grow-and-remove	-	-
compiler/30-data-field-initializers-preserve-source-evaluation-order.hd	res	rv/data-field-evaluation-order	-	-
compiler/31-data-field-defaults-run-per-construction-after-explicit-fields.hd	res	rv/data-field-defaults	-	-
compiler/32-data-field-defaults-are-type-checked-and-purity-checked-impure-data-default-2.hd	mv	ti/suspending-data-field-default	impure-data-default=impure-default	-
compiler/32-data-field-defaults-are-type-checked-and-purity-checked-impure-data-default.hd	mv	tv/generic-optional-field-default	-	-
compiler/32-data-field-defaults-are-type-checked-and-purity-checked-type-mismatch.hd	mv	ti/data-field-default-type-mismatch	-	-
compiler/33-data-copy-update-evaluates-its-source-before-replacements.hd	res	rv/copy-update-evaluation-order	-	-
compiler/34-data-copy-update-supplies-omitted-fields-without-running-defaults-type-mismatch.hd	mv	ti/copy-update-source-type-mismatch	-	-
compiler/34-data-copy-update-supplies-omitted-fields-without-running-defaults.hd	res	rv/copy-update-skips-defaults	-	-
compiler/35-fieldless-data-lowers-to-an-empty-wasm-gc-struct.hd	res	rv/fieldless-data-argument	-	-
compiler/36-data-initialization-missing-field.hd	mv	ti/data-literal-missing-field	-	-
compiler/36-data-initialization-unknown-field.hd	mv	ti/data-literal-unknown-field	-	-
compiler/36-data-initialization-wrong-field-type.hd	mv	ti/data-literal-field-type-mismatch	-	-
compiler/37-data-pattern-duplicate-field.hd	mv	ti/data-pattern-repeated-field	-	-
compiler/37-data-pattern-nonexhaustive.hd	mv	ti/data-pattern-nonexhaustive	-	-
compiler/37-data-pattern-unknown-field.hd	mv	ti/data-pattern-unknown-field	-	-
compiler/37-data-patterns-destructure-nested-fields-and-test-literals.hd	res	rv/data-patterns	-	-
compiler/38-strings-use-gc-byte-arrays-and-len-counts-unicode-scalars.hd	res	rv/string-length-counts-scalars	-	-
compiler/39-string-interpolation-displays-built-ins-left-to-right.hd	res	rv/string-interpolation-built-ins	-	-
compiler/40-strings-compare-by-utf-8-value-order.hd	res	rv/string-ordering	-	-
compiler/41-strings-concatenate-and-unnamed-enum-fields-use-numeric-selectors.hd	res	rv/string-concatenation-and-numeric-selectors	-	-
compiler/42-character-literals-carry-unicode-scalar-values-and-compare-in-scalar-ord.hd	res	rv/character-literals	-	-
compiler/43-defer-runs-after-a-return-value-is-evaluated.hd	res	rv/defer-after-return-value	-	-
compiler/44-defer-rejects-escaping-control-flow.hd	hold	-	-	marks defer-control-flow, which spec/README.md does not inventory (F-205)
compiler/45-defer-is-lifo-and-runs-on-loop-continue-and-break.hd	res	rv/defer-lifo-and-loop-exits	-	-
compiler/46-explicit-panic-lowers-to-unreachable-and-skips-pending-defer.hd	man	rp/explicit-panic-skips-defer	-	F-204: marker moved to the panicking line; D2: called from a test block
compiler/47-enums-use-tagged-gc-structs-and-match-binds-payloads.hd	res	rv/enum-payload-match	-	-
compiler/48-match-bare-variant.hd	mv	ti/bare-variant-pattern-in-match	-	-
compiler/48-match-nonexhaustive.hd	mv	ti/enum-match-missing-variant	-	-
compiler/48-match-pattern-arity.hd	hold	-	-	marks pattern-arity, which spec/README.md does not inventory (F-205)
compiler/48-match-unreachable-arm.hd	hold	-	-	marks unreachable-match-arm, which spec/README.md does not inventory (F-205)
compiler/49-contextual-enum-variant-patterns-use-the-subject-type-variant-binding-name-mismatch.hd	mv	tw/variant-binding-names-swapped	-	-
compiler/49-contextual-enum-variant-patterns-use-the-subject-type.hd	res	rv/contextual-variant-patterns	-	-
compiler/50-contextual-enum-variant-expressions-use-their-expected-type-diagnostic.hd	mv	ti/contextual-variant-binding-without-type	-	-
compiler/50-contextual-enum-variant-expressions-use-their-expected-type.hd	res	rv/contextual-variant-expressions	-	-
compiler/51-boolean-matches-are-exhaustive-and-lower-to-scalar-tests-diagnostic.hd	mv	ti/bool-match-missing-false	-	-
compiler/51-boolean-matches-are-exhaustive-and-lower-to-scalar-tests-unreachable-match-arm.hd	hold	-	-	marks unreachable-match-arm, which spec/README.md does not inventory (F-205)
compiler/51-boolean-matches-are-exhaustive-and-lower-to-scalar-tests.hd	res	rv/bool-match	-	-
compiler/52-numeric-character-and-string-literal-patterns-require-a-catch-all-diagnostic.hd	mv	ti/integer-literal-match-without-catch-all	-	-
compiler/52-numeric-character-and-string-literal-patterns-require-a-catch-all-unreachable-match-arm.hd	hold	-	-	marks unreachable-match-arm, which spec/README.md does not inventory (F-205)
compiler/52-numeric-character-and-string-literal-patterns-require-a-catch-all.hd	res	rv/literal-patterns	-	-
compiler/53-match-guards-see-pattern-bindings-and-do-not-contribute-coverage-diagnostic.hd	mv	ti/guarded-catch-all-not-exhaustive	-	-
compiler/53-match-guards-see-pattern-bindings-and-do-not-contribute-coverage-type-mismatch-2.hd	mv	ti/match-guard-type-mismatch	-	-
compiler/53-match-guards-see-pattern-bindings-and-do-not-contribute-coverage-type-mismatch.hd	mv	tv/match-guard-reads-binding	-	-
compiler/53-match-guards-see-pattern-bindings-and-do-not-contribute-coverage.hd	res	rv/match-guards	-	-
compiler/54-optionals-inject-plain-values-match-both-cases-and-propagate-nil.hd	res	rv/optional-propagation	-	-
compiler/55-result-constructors-matching-and-error-propagation-use-the-erased-carrie.hd	res	rv/result-propagation	-	-
compiler/56-imported-resourceerror-is-a-generic-wasm-gc-enum.hd	res	rv/resource-error-operation-payload	-	-
compiler/57-result-patterns-recursively-match-imported-enum-payloads.hd	res	rv/result-pattern-nested-enum	-	-
compiler/58-optional-and-result-context-errors-have-stable-diagnostics-diagnostic-2.hd	hold	-	-	marks result-constructor-needs-context, which spec/README.md does not inventory (F-205)
compiler/58-optional-and-result-context-errors-have-stable-diagnostics-diagnostic-3.hd	hold	-	-	marks invalid-result-propagation, which spec/README.md does not inventory (F-205)
compiler/58-optional-and-result-context-errors-have-stable-diagnostics-diagnostic-4.hd	mv	tw/unused-nested-optional-binding	-	-
compiler/58-optional-and-result-context-errors-have-stable-diagnostics-diagnostic.hd	hold	-	-	marks nil-needs-optional-type, which spec/README.md does not inventory (F-205)
compiler/59-optional-result-discarded.hd	mv	ti/discarded-optional-result	-	-
compiler/59-optional-result-explicitly-discarded.hd	mv	tv/optional-result-explicitly-discarded	-	-
compiler/60-comprehensions-lower-nested-filters-and-map-replacement.hd	res	rv/comprehensions	-	-
compiler/60-comprehensions-reject-suspension-calls.hd	mv	ti/bang-call-in-comprehension	-	-
compiler/60-typed-noncapturing-closures-lower-to-wasm-typed-function-references-diagnostic.hd	mv	ti/closure-argument-type-mismatch	-	-
compiler/60-typed-noncapturing-closures-lower-to-wasm-typed-function-references.hd	res	rv/closure-as-function-argument	-	-
compiler/61-binding-expressions-reject-same-scope-redeclaration.hd	mv	ti/binding-expression-redeclaration	-	-
compiler/61-binding-expressions-return-values-and-bind-in-enclosing-scope.hd	res	rv/binding-expressions	-	-
compiler/61-expected-function-types-infer-inline-closure-parameters-and-results-diagnostic.hd	hold	-	-	marks closure-parameter-needs-annotation, which spec/README.md does not inventory (F-205)
compiler/61-expected-function-types-infer-inline-closure-parameters-and-results.hd	res	rv/closure-parameter-inference	-	-
compiler/62-nonrecursive-closures-infer-result-types-from-fallthrough-and-returns-closure-result-type.hd	hold	-	-	marks closure-result-type, which spec/README.md does not inventory (F-205)
compiler/62-nonrecursive-closures-infer-result-types-from-fallthrough-and-returns.hd	res	rv/closure-result-inference	-	-
compiler/62-string-trim-and-lower-use-unicode-byte-bridge.hd	res	rv/string-trim-and-lower	-	-
compiler/63-explicitly-typed-local-closures-recurse-through-their-current-environmen.hd	res	rv/recursive-local-closure	-	-
compiler/63-generic-iterator-traits-drive-for-loops-and-comprehensions.hd	res	rv/iterator-trait-loops	-	-
compiler/63-generic-iterator-traits-require-mutable-receivers.hd	mv	ti/readonly-iterator-in-comprehension	-	-
compiler/64-generic-methods-infer-and-erase-type-arguments.hd	res	rv/generic-methods	-	-
compiler/64-named-local-functions-capture-enclosing-values-and-recurse.hd	res	rv/named-local-functions	-	-
compiler/65-string-split-preserves-boundaries-and-unicode-scalars.hd	res	rv/string-split	-	-
compiler/66-associated-functions-use-qualified-static-calls.hd	hold	-	-	uses `Type::name[T](...)`, which the chapter-02 EBNF does not derive
compiler/67-blanket-implementations-dispatch-with-inferred-dictionaries.hd	res	rv/blanket-impl-for-list	-	-
compiler/68-generic-implementation-heads-cannot-overlap.hd	mv	ti/overlapping-generic-impl-heads	-	-
compiler/69-trait-qualified-calls-select-ambiguous-methods.hd	res	rv/trait-qualified-calls	-	-
compiler/70-generic-trait-qualified-calls-select-an-instantiation.hd	res	rv/generic-trait-qualified-calls	-	-
compiler/71-trait-associated-functions-use-implementing-type-qualification.hd	res	rv/trait-associated-functions	-	-
compiler/72-associated-types-specialize-self-projections.hd	res	rv/associated-type-projections	-	-
compiler/73-supertraits-reject-missing-parent-implementations.hd	hold	-	-	marks missing-supertrait-implementation, which spec/README.md does not inventory (F-205)
compiler/73-supertraits-require-and-expose-parent-implementations.hd	res	rv/supertrait-methods	-	-
compiler/74-mutable-trait-bounds-preserve-root-access.hd	res	rv/mutable-trait-bound	-	-
compiler/74-mutable-trait-bounds-reject-readonly-roots.hd	hold	-	-	marks mutable-bound-required, which spec/README.md does not inventory (F-205)
compiler/75-generic-trait-methods-use-static-erased-dispatch.hd	hold	-	-	uses `Trait::name[T](...)`, which the chapter-02 EBNF does not derive
compiler/76-blanket-implementations-materialize-dynamic-and-bound-dictionaries.hd	res	rv/blanket-impl-dynamic-and-bound	-	-
compiler/76-bounded-blanket-implementations-capture-erased-dictionaries.hd	res	rv/bounded-blanket-impl	-	-
compiler/77-generic-supertraits-reject-incompatible-upcasts.hd	mv	ti/generic-supertrait-upcast-mismatch	-	-
compiler/77-generic-supertraits-substitute-parent-arguments.hd	res	rv/generic-supertraits	-	-
compiler/78-bounded-blanket-supertraits-capture-parent-dictionaries.hd	res	rv/bounded-blanket-supertraits	-	-
compiler/assert-failure-panics.hd	man	rp/assert-failure-outside-test	-	D2: called through a test block
compiler/display-requires-implementation.hd	hold	-	-	marks missing-display, which spec/README.md does not inventory (F-205)
frontend/00-core-program.hd	hold	-	-	implementation detail: lexer and AST snapshot input
frontend/04-parser-builds-value-producing-while-else.hd	mv	pv/while-else	-	-
frontend/05-parser-builds-for-loops-with-tuple-bindings-and-else-suites.hd	mv	pv/for-tuple-binding-else	-	-
frontend/06-parser-lowers-named-local-functions-to-typed-closure-bindings.hd	mv	pv/named-local-function	-	-
frontend/07-parser-retains-mutable-permission-types-and-field-assignments-2.hd	mv	pv/mutable-list-parameter-index-assignment	-	-
frontend/07-parser-retains-mutable-permission-types-and-field-assignments.hd	mv	pv/mutable-parameter-field-assignment	-	-
frontend/08-parser-represents-mut-self-as-a-mutable-self-receiver-2.hd	mv	pi/mut-non-self-parameter	expected-token=syntax-error	-
frontend/08-parser-represents-mut-self-as-a-mutable-self-receiver.hd	mv	pv/mut-self-receiver	-	-
frontend/09-parser-distinguishes-inherent-and-trait-implementation-blocks.hd	mv	pv/inherent-and-trait-impls	-	-
frontend/10-parser-marks-bare-data-members-as-embedded-fields.hd	mv	pv/embedded-data-member	-	-
frontend/11-parser-retains-explicit-generic-arguments-and-trailing-callbacks-2.hd	mv	pv/trailing-callback-statement	-	-
frontend/11-parser-retains-explicit-generic-arguments-and-trailing-callbacks.hd	mv	pv/explicit-generic-arguments-with-placeholder	-	-
frontend/12-parser-retains-explicit-generic-data-arguments.hd	mv	pv/explicit-generic-data-arguments	-	-
frontend/13-tabs-and-inconsistent-dedents-are-rejected-by-the-lexer-2.hd	mv	pi/dedent-to-unused-column	inconsistent-dedent=invalid-dedent	-
frontend/13-tabs-and-inconsistent-dedents-are-rejected-by-the-lexer.hd	mv	pi/tab-in-function-body	-	-
frontend/14-lexer-enforces-reserved-punctuation-escapes-and-numeric-separators-2.hd	mv	pi/double-numeric-separator	invalid-integer-literal=invalid-token	-
frontend/14-lexer-enforces-reserved-punctuation-escapes-and-numeric-separators-3.hd	mv	pi/binary-literal-bad-digit	invalid-integer-literal=syntax-error	-
