path	phase	expectation	specification
typing/invalid/top-level-return.hd	type	reject:return-outside-function	06-control-flow.md#return
typing/invalid/reassign-short-binding.hd	type	reject:immutable-binding	03-names-and-scopes.md#local-bindings
typing/invalid/possibly-uninitialized-binding.hd	type	reject:possibly-uninitialized-binding	03-names-and-scopes.md#binding-expressions
typing/invalid/const-mutation.hd	type	reject:const-root	04-type-system.md#mutable-paths
typing/invalid/const-function-result.hd	type	reject:const-argument-to-mutable-parameter	04-type-system.md#bindings-and-fresh-values
typing/invalid/mut-upgrade.hd	type	reject:mutable-upgrade	04-type-system.md#assignability-and-coercion
typing/invalid/integer-narrowing.hd	type	reject:implicit-narrowing	04-type-system.md#numeric-conversions
typing/invalid/integer-literal-range.hd	type	reject:integer-literal-range	04-type-system.md#literal-types
typing/invalid/heterogeneous-list.hd	type	reject:no-common-type	05-expressions.md#list-and-map-expressions
typing/invalid/invalid-map-key.hd	type	reject:invalid-map-key	04-type-system.md#map-key-types
typing/invalid/nominal-map-key.hd	type	reject:invalid-map-key	04-type-system.md#map-key-types
typing/invalid/tuple-map-key.hd	type	reject:invalid-map-key	04-type-system.md#map-key-types
typing/invalid/float-map-key.hd	type	reject:invalid-map-key	04-type-system.md#map-key-types
typing/valid/generic-map-key.hd	type	accept	04-type-system.md#map-key-types
typing/valid/pack-map.hd	type	accept	12-variadic-generics.md#pack-mapping
typing/invalid/pack-map-mapper-mismatch.hd	type	reject:pack-map-mapper-mismatch	12-variadic-generics.md#pack-mapping
typing/valid/mutable-suspension.hd	type	accept	11-requirements-and-suspension.md#suspending-functions
typing/invalid/readonly-suspension-cancel.hd	type	reject:const-receiver	11-requirements-and-suspension.md#suspending-functions
runtime/panic/invalidated-iterator.hd	runtime	panic:iterator-invalidated	06-control-flow.md#for-loops
typing/invalid/mixed-signedness.hd	type	reject:mixed-signedness	04-type-system.md#numeric-conversions
typing/invalid/unsigned-negation.hd	type	reject:unsigned-negation	05-expressions.md#unary-and-binary-operators
typing/invalid/nonnumeric-unary-plus.hd	type	reject:nonnumeric-unary-plus	05-expressions.md#unary-and-binary-operators
runtime/panic/integer-divide-by-zero.hd	runtime	panic:integer-division-by-zero	05-expressions.md#unary-and-binary-operators
typing/invalid/missing-mutable-edge.hd	type	reject:const-edge	04-type-system.md#mutable-paths
typing/invalid/nil-to-any.hd	type	reject:nil-to-nonoptional	04-type-system.md#optional-types
typing/invalid/nonexhaustive-match.hd	type	reject:nonexhaustive-match	06-control-flow.md#match-expressions
typing/invalid/guarded-match-not-exhaustive.hd	type	reject:nonexhaustive-match	06-control-flow.md#match-expressions
typing/invalid/duplicate-data-pattern-field.hd	type	reject:duplicate-data-pattern-field	06-control-flow.md#match-expressions
typing/invalid/contextual-variant-without-type.hd	type	reject:missing-contextual-enum-type	05-expressions.md#names
typing/invalid/nonexhaustive-bool-match.hd	type	reject:nonexhaustive-match	06-control-flow.md#match-expressions
typing/invalid/overload.hd	type	reject:duplicate-module-name	03-names-and-scopes.md#name-categories
typing/invalid/redeclare-core-type.hd	type	reject:predeclared-name-conflict	03-names-and-scopes.md#name-categories
typing/invalid/function-equality.hd	type	reject:unsupported-equality	05-expressions.md#unary-and-binary-operators
typing/invalid/unsaturated-enum-constructor.hd	type	reject:unsaturated-enum-constructor	08-data-and-enums.md#enum-declarations
typing/invalid/ambiguous-trait-method.hd	type	reject:ambiguous-method	09-traits.md#method-resolution
typing/invalid/unsafe-dynamic-trait.hd	type	reject:trait-not-dynamically-safe	09-traits.md#dynamic-trait-values
typing/invalid/orphan-impl.hd	type	reject:orphan-impl	09-traits.md#trait-implementations
typing/invalid/local-impl-nonlocal-pair.hd	type	reject:local-impl-nonlocal-pair	09-traits.md#trait-implementations
typing/invalid/private-type-leak.hd	type	reject:private-type-leak	10-modules.md#public-uses-and-visibility
typing/invalid/variance-position.hd	type	reject:invalid-variance	04-type-system.md#variance
typing/warnings/unreachable-code.hd	type	warn:unreachable-code	06-control-flow.md#unreachable-code
typing/invalid/duplicate-data-field.hd	type	reject:duplicate-field	08-data-and-enums.md#construction-and-access
typing/valid/requirements-and-suspension.hd	type	accept	11-requirements-and-suspension.md
typing/valid/variadic-generics.hd	type	accept	12-variadic-generics.md
typing/valid/gadts.hd	type	accept	13-gadts.md
typing/valid/annotations.hd	type	accept	14-annotations.md
typing/valid/missing-child-override.hd	type	accept	14-annotations.md#missing-child-information
typing/invalid/missing-child-annotation.hd	type	reject:missing-child-annotation	14-annotations.md#missing-child-information
typing/valid/data-decorator.hd	type	accept	14-annotations.md#prefix-decorators
typing/valid/embedded-field-decorator.hd	type	accept	14-annotations.md#prefix-decorators
typing/invalid/embedded-field-decorator-type.hd	type	reject:invalid-field-metadata	14-annotations.md#prefix-decorators
typing/valid/derived-equality.hd	type	accept	09-traits.md#comparison-traits
typing/valid/derived-hash.hd	type	accept	09-traits.md#comparison-traits
typing/invalid/derived-hash-field-not-hash.hd	type	reject:field-not-hash	09-traits.md#comparison-traits
typing/valid/derived-ordering.hd	type	accept	09-traits.md#comparison-traits
typing/invalid/derived-total-order-float.hd	type	reject:field-not-eq	09-traits.md#comparison-traits
typing/valid/optional-present-pattern.hd	type	accept	06-control-flow.md#match-expressions
typing/invalid/present-pattern-nonoptional.hd	type	reject:optional-pattern-requires-optional	06-control-flow.md#match-expressions
parse/valid/decorators.hd	parse	accept	02-grammar.md#annotations
typing/invalid/missing-requirement.hd	type	reject:missing-requirement	11-requirements-and-suspension.md#requirement-rows
typing/invalid/bang-call-outside-suspension.hd	type	reject:bang-call-outside-suspension	11-requirements-and-suspension.md#suspending-functions
typing/invalid/pack-length-mismatch.hd	type	reject:pack-length-mismatch	12-variadic-generics.md#lockstep-expansion
typing/invalid/impossible-gadt-pattern.hd	type	reject:impossible-gadt-pattern	13-gadts.md#pattern-refinement
typing/invalid/unknown-annotation-member.hd	type	reject:unknown-annotation-member	14-annotations.md#member-metadata
typing/invalid/partial-generic-arguments.hd	type	reject:partial-generic-arguments	07-functions.md#generic-functions
typing/valid/generic-argument-placeholder.hd	type	accept	07-functions.md#generic-functions
typing/invalid/unresolved-generic-placeholder.hd	type	reject:unresolved-generic-placeholder	07-functions.md#generic-functions
typing/valid/explicit-generic-method.hd	type	accept	07-functions.md#generic-functions
typing/invalid/partial-generic-method-arguments.hd	type	reject:partial-generic-arguments	07-functions.md#generic-functions
typing/invalid/reassign-parameter.hd	type	reject:immutable-parameter-binding	07-functions.md#parameters
typing/valid/parameter-decorator.hd	type	accept	14-annotations.md#prefix-decorators
typing/invalid/parameter-decorator-type.hd	type	reject:invalid-parameter-metadata	14-annotations.md#prefix-decorators
typing/valid/configured-facet.hd	type	accept	14-annotations.md#prefix-decorators
typing/invalid/configured-facet-not-annotator.hd	type	reject:decorator-not-annotator	14-annotations.md#prefix-decorators
parse/invalid/local-decorator.hd	parse	reject:decorator-not-top-level	14-annotations.md#prefix-decorators
typing/valid/generic-annotation-family.hd	type	accept	14-annotations.md#derived-facet-information
typing/invalid/overlapping-generic-annotation.hd	type	reject:overlapping-annotation-impl	14-annotations.md#coherence-and-package-rules
typing/valid/direct-annotation-impl.hd	type	accept	14-annotations.md#structural-overrides
typing/invalid/duplicate-direct-annotation-impl.hd	type	reject:duplicate-annotation-impl	14-annotations.md#coherence-and-package-rules
